"Concordance" "se"
"COAD Covars train27" 0.68339342948718 0.0460306857853818
"COAD Covars test27" 0.751256281407035 NA
"COAD Genes and covars train28" 0.831568330811901 0.0329434006910022
"COAD Genes and covars test28" 0.48567335243553 NA
"COAD Genes train28" 0.649510419281948 0.055190645649299
"COAD Genes test28" 0.464114832535885 NA
"COAD Covars train28" 0.787821482602118 0.0383199606555767
"COAD Covars test28" 0.513629842180775 NA
"COAD Genes and covars train29" 0.787509330679274 0.0378636946109235
"COAD Genes and covars test29" 0.792957746478873 NA
"COAD Genes train29" 0.708374628344896 0.0431851285388643
"COAD Genes test29" 0.7 NA
"COAD Covars train29" 0.67367504354317 0.056536963199855
"COAD Covars test29" 0.708039492242595 NA
"ESCA Genes and covars train" 0.746666666666667 0.0530422079002189
"ESCA Genes and covars test" 0.625 NA
"ESCA Genes train" 0.749333333333333 0.0452134916752181
"ESCA Genes test" 0.611111111111111 NA
"ESCA Covars train" 0.545777777777778 0.0674501185949498
"ESCA Covars test" 0.563380281690141 NA
"ESCA Genes and covars train1" 0.798761609907121 0.0472304447540517
"ESCA Genes and covars test1" 0.608695652173913 NA
"ESCA Genes train1" 0.785345717234262 0.0516675430503775
"ESCA Genes test1" 0.660869565217391 NA
"ESCA Covars train1" 0.581011351909185 0.0665459872882398
"ESCA Covars test1" 0.339130434782609 NA
"ESCA Genes and covars train2" 0.796672828096118 0.039708548276597
"ESCA Genes and covars test2" 0.523255813953488 NA
"ESCA Genes train2" 0.768946395563771 0.0427728458746813
"ESCA Genes test2" 0.511627906976744 NA
"ESCA Covars train2" 0.558687615526802 0.0619038665112922
"ESCA Covars test2" 0.447058823529412 NA
"ESCA Genes and covars train3" 0.822265625 0.0401138799278823
"ESCA Genes and covars test3" 0.456140350877193 NA
"ESCA Genes train3" 0.77734375 0.0477194369985612
"ESCA Genes test3" 0.447368421052632 NA
"ESCA Covars train3" 0.54638671875 0.0614214703288651
"ESCA Covars test3" 0.571428571428571 NA
"ESCA Genes and covars train4" 0.74487895716946 0.0490194731861252
"ESCA Genes and covars test4" 0.788235294117647 NA
"ESCA Genes train4" 0.713221601489758 0.0464787997617795
"ESCA Genes test4" 0.823529411764706 NA
"ESCA Covars train4" 0.564245810055866 0.0647399667011956
"ESCA Covars test4" 0.458823529411765 NA
"ESCA Genes and covars train5" 0.784334763948498 0.0509932413412288
"ESCA Genes and covars test5" 0.676258992805755 NA
"ESCA Genes train5" 0.759656652360515 0.0528639067927633
"ESCA Genes test5" 0.683453237410072 NA
"ESCA Covars train5" 0.553648068669528 0.0618906787548687
"ESCA Covars test5" 0.517985611510791 NA
"ESCA Genes and covars train6" 0.780165289256198 0.0485291141229997
"ESCA Genes and covars test6" 0.549019607843137 NA
"ESCA Genes train6" 0.780165289256198 0.0449672978706593
"ESCA Genes test6" 0.627450980392157 NA
"ESCA Covars train6" 0.569834710743802 0.0633396827448117
"ESCA Covars test6" 0.42 NA
"ESCA Genes and covars train7" 0.777602523659306 0.0441333189454371
"ESCA Genes and covars test7" 0.694444444444444 NA
"ESCA Genes train7" 0.777602523659306 0.0398585882686302
"ESCA Genes test7" 0.555555555555556 NA
"ESCA Covars train7" 0.552839116719243 0.0622159166125464
"ESCA Covars test7" 0.444444444444444 NA
"ESCA Genes and covars train8" 0.781274586939418 0.0457103912353421
"ESCA Genes and covars test8" 0.375 NA
"ESCA Genes train8" 0.769472856018883 0.0373014784387495
"ESCA Genes test8" 0.375 NA
"ESCA Covars train8" 0.519669551534225 0.0612050365809078
"ESCA Covars test8" 0.583333333333333 NA
"ESCA Genes and covars train9" 0.787274453941121 0.0533555579845876
"ESCA Genes and covars test9" 0.584269662921348 NA
"ESCA Genes train9" 0.780626780626781 0.0518044152645389
"ESCA Genes test9" 0.561797752808989 NA
"ESCA Covars train9" 0.565052231718898 0.0711031930777727
"ESCA Covars test9" 0.420454545454545 NA
"ESCA Genes and covars train10" 0.795568982880161 0.0548253378947734
"ESCA Genes and covars test10" 0.459459459459459 NA
"ESCA Genes train10" 0.799597180261833 0.0455264760922276
"ESCA Genes test10" 0.495495495495496 NA
"ESCA Covars train10" 0.550855991943605 0.0651246507383944
"ESCA Covars test10" 0.531531531531532 NA
"ESCA Genes and covars train11" 0.741878841088674 0.0498934580509593
"ESCA Genes and covars test11" 0.630769230769231 NA
"ESCA Genes train11" 0.770851624231782 0.0424635647500534
"ESCA Genes test11" 0.615384615384615 NA
"ESCA Covars train11" 0.554433713784021 0.065089685369216
"ESCA Covars test11" 0.40625 NA
"ESCA Genes and covars train12" 0.801295896328294 0.0452205029337464
"ESCA Genes and covars test12" 0.488888888888889 NA
"ESCA Genes train12" 0.787257019438445 0.0472718512435959
"ESCA Genes test12" 0.451851851851852 NA
"ESCA Covars train12" 0.61231101511879 0.0619432630015204
"ESCA Covars test12" 0.325757575757576 NA
"ESCA Genes and covars train13" 0.698290598290598 0.0536937747027481
"ESCA Genes and covars test13" 0.806451612903226 NA
"ESCA Genes train13" 0.698290598290598 0.0520350674059199
"ESCA Genes test13" 0.725806451612903 NA
"ESCA Covars train13" 0.535470085470085 0.0637796245153939
"ESCA Covars test13" 0.655737704918033 NA
"ESCA Genes and covars train14" 0.813872832369942 0.0531676414834422
"ESCA Genes and covars test14" 0.641509433962264 NA
"ESCA Genes train14" 0.81271676300578 0.0564904311232561
"ESCA Genes test14" 0.60377358490566 NA
"ESCA Covars train14" 0.626011560693642 0.0625774267149549
"ESCA Covars test14" 0.280254777070064 NA
"ESCA Genes and covars train15" 0.807920792079208 0.0357443259952858
"ESCA Genes and covars test15" 0.548076923076923 NA
"ESCA Genes train15" 0.798019801980198 0.0403918021847832
"ESCA Genes test15" 0.634615384615385 NA
"ESCA Covars train15" 0.570792079207921 0.0679536364108432
"ESCA Covars test15" 0.388349514563107 NA
"ESCA Genes and covars train16" 0.82212086659065 0.0520468656137295
"ESCA Genes and covars test16" 0.384615384615385 NA
"ESCA Genes train16" 0.818700114025086 0.037788621896532
"ESCA Genes test16" 0.5 NA
"ESCA Covars train16" 0.517103762827822 0.0713525266467133
"ESCA Covars test16" 0.571428571428571 NA
"ESCA Genes and covars train17" 0.797360980207352 0.0484657121995246
"ESCA Genes and covars test17" 0.565217391304348 NA
"ESCA Genes train17" 0.792648444863336 0.0456723786080221
"ESCA Genes test17" 0.565217391304348 NA
"ESCA Covars train17" 0.545711592836946 0.0628653837907562
"ESCA Covars test17" 0.543478260869565 NA
"ESCA Genes and covars train18" 0.701310043668122 0.0532632627753385
"ESCA Genes and covars test18" 0.514705882352941 NA
"ESCA Genes train18" 0.706550218340611 0.0457614566007042
"ESCA Genes test18" 0.852941176470588 NA
"ESCA Covars train18" 0.563755458515284 0.0610103112293337
"ESCA Covars test18" 0.382352941176471 NA
"ESCA Genes and covars train19" 0.706412825651303 0.0629892123822186
"ESCA Genes and covars test19" 0.584070796460177 NA
"ESCA Genes train19" 0.687374749498998 0.0631807677027457
"ESCA Genes test19" 0.716814159292035 NA
"ESCA Covars train19" 0.609218436873747 0.0626694980056067
"ESCA Covars test19" 0.309734513274336 NA
"ESCA Genes and covars train20" 0.762455516014235 0.0458070442907246
"ESCA Genes and covars test20" 0.474358974358974 NA
"ESCA Genes train20" 0.75711743772242 0.043749523432197
"ESCA Genes test20" 0.58974358974359 NA
"ESCA Covars train20" 0.518238434163701 0.0630952578686229
"ESCA Covars test20" 0.623376623376623 NA
"ESCA Genes and covars train21" 0.682950191570881 0.0502772079732956
"ESCA Genes and covars test21" 0.666666666666667 NA
"ESCA Genes train21" 0.664750957854406 0.049231850521569
"ESCA Genes test21" 0.741935483870968 NA
"ESCA Covars train21" 0.552681992337165 0.0622985484664271
"ESCA Covars test21" 0.516483516483517 NA
"ESCA Genes and covars train22" 0.71264367816092 0.0705281658811866
"ESCA Genes and covars test22" 0.72258064516129 NA
"ESCA Genes train22" 0.716091954022989 0.059711096177394
"ESCA Genes test22" 0.774193548387097 NA
"ESCA Covars train22" 0.562068965517241 0.0798713290471803
"ESCA Covars test22" 0.493421052631579 NA
"ESCA Genes and covars train23" 0.739130434782609 0.0661511602366694
"ESCA Genes and covars test23" 0.744827586206896 NA
"ESCA Genes train23" 0.66304347826087 0.063401436748082
"ESCA Genes test23" 0.758620689655172 NA
"ESCA Covars train23" 0.5625 0.0734479628451405
"ESCA Covars test23" 0.465277777777778 NA
"ESCA Genes and covars train24" 0.851851851851852 0.0395170821163914
"ESCA Genes and covars test24" 0.601694915254237 NA
"ESCA Genes train24" 0.827160493827161 0.0381490613389416
"ESCA Genes test24" 0.627118644067797 NA
"ESCA Covars train24" 0.574588477366255 0.0699463593535349
"ESCA Covars test24" 0.449152542372881 NA
"ESCA Genes and covars train25" 0.704974271012007 0.0593571847004464
"ESCA Genes and covars test25" 0.739130434782609 NA
"ESCA Genes train25" 0.70926243567753 0.0578702231801474
"ESCA Genes test25" 0.72463768115942 NA
"ESCA Covars train25" 0.541166380789022 0.0631329183057816
"ESCA Covars test25" 0.617647058823529 NA
"ESCA Genes and covars train26" 0.795737122557726 0.0522668700904764
"ESCA Genes and covars test26" 0.513513513513513 NA
"ESCA Genes train26" 0.797513321492007 0.0409753420935681
"ESCA Genes test26" 0.608108108108108 NA
"ESCA Covars train26" 0.531083481349911 0.0624719982279187
"ESCA Covars test26" 0.635135135135135 NA
"ESCA Genes and covars train27" 0.707803992740472 0.0504454943403057
"ESCA Genes and covars test27" 0.817073170731707 NA
"ESCA Genes train27" 0.694192377495463 0.0500071378843535
"ESCA Genes test27" 0.780487804878049 NA
"ESCA Covars train27" 0.532214156079855 0.0594012887237997
"ESCA Covars test27" 0.6 NA
"ESCA Genes and covars train28" 0.74003984063745 0.0506294382178908
"ESCA Genes and covars test28" 0.783018867924528 NA
"ESCA Genes train28" 0.754980079681275 0.0431695143437101
"ESCA Genes test28" 0.735849056603774 NA
"ESCA Covars train28" 0.551294820717132 0.0689097739408129
"ESCA Covars test28" 0.403846153846154 NA
"ESCA Genes and covars train29" 0.78 0.0548486280594146
"ESCA Genes and covars test29" 0.572727272727273 NA
"ESCA Genes train29" 0.772 0.0537136213636727
"ESCA Genes test29" 0.5 NA
"ESCA Covars train29" 0.5735 0.0674861233328749
"ESCA Covars test29" 0.490740740740741 NA
"HNSC Genes and covars train" 0.790007608419985 0.0236754521819958
"HNSC Genes and covars test" 0.669681104236078 NA
"HNSC Genes train" 0.781321328937357 0.0230030055132761
"HNSC Genes test" 0.649214659685864 NA
"HNSC Covars train" 0.637046664975907 0.0344107850788436
"HNSC Covars test" 0.590996168582375 NA
"HNSC Genes and covars train1" 0.778713968957871 0.0237910001582032
"HNSC Genes and covars test1" 0.636630754162586 NA
"HNSC Genes train1" 0.777890402280646 0.0226613898015061
"HNSC Genes test1" 0.580803134182174 NA
"HNSC Covars train1" 0.612606905289832 0.0348073523548737
"HNSC Covars test1" 0.649036085022244 NA
"HNSC Genes and covars train2" 0.775712371073947 0.0243888809386555
"HNSC Genes and covars test2" 0.605678233438486 NA
"HNSC Genes train2" 0.762251617038634 0.0258992135055049
"HNSC Genes test2" 0.599369085173502 NA
"HNSC Covars train2" 0.637637666802634 0.0327948215513254
"HNSC Covars test2" 0.607643312101911 NA
"HNSC Genes and covars train3" 0.781942692377005 0.0232018243706896
"HNSC Genes and covars test3" 0.623941276115189 NA
"HNSC Genes train3" 0.771730642157746 0.0218737433773259
"HNSC Genes test3" 0.566346696781479 NA
"HNSC Covars train3" 0.64558178650808 0.0326481390937055
"HNSC Covars test3" 0.597616345062429 NA
"HNSC Genes and covars train4" 0.739107269713474 0.0266727259950211
"HNSC Genes and covars test4" 0.650849443468073 NA
"HNSC Genes train4" 0.710040255742363 0.0278435672614974
"HNSC Genes test4" 0.629759812536614 NA
"HNSC Covars train4" 0.626775988633673 0.0337154654010228
"HNSC Covars test4" 0.594690265486726 NA
"HNSC Genes and covars train5" 0.770761294711184 0.0246759391689323
"HNSC Genes and covars test5" 0.693103448275862 NA
"HNSC Genes train5" 0.756533076356216 0.0246850396019187
"HNSC Genes test5" 0.650344827586207 NA
"HNSC Covars train5" 0.621676775692988 0.033327959782742
"HNSC Covars test5" 0.65880721220527 NA
"HNSC Genes and covars train6" 0.788874992555536 0.0245527070842877
"HNSC Genes and covars test6" 0.640116279069767 NA
"HNSC Genes train6" 0.779346078256209 0.0227576691988571
"HNSC Genes test6" 0.608720930232558 NA
"HNSC Covars train6" 0.628580787326544 0.0334689601306159
"HNSC Covars test6" 0.618713450292398 NA
"HNSC Genes and covars train7" 0.794221626234304 0.0228971519905075
"HNSC Genes and covars test7" 0.612554112554113 NA
"HNSC Genes train7" 0.788004388638303 0.0232315945357362
"HNSC Genes test7" 0.577922077922078 NA
"HNSC Covars train7" 0.622455199317323 0.0328236436007538
"HNSC Covars test7" 0.619618528610354 NA
"HNSC Genes and covars train8" 0.760506837285159 0.027432253227173
"HNSC Genes and covars test8" 0.649122807017544 NA
"HNSC Genes train8" 0.731213147660268 0.0272737978221894
"HNSC Genes test8" 0.651127819548872 NA
"HNSC Covars train8" 0.624764772299586 0.0337294249860953
"HNSC Covars test8" 0.63773965691221 NA
"HNSC Genes and covars train9" 0.785517586681687 0.0256361556538096
"HNSC Genes and covars test9" 0.582157258064516 NA
"HNSC Genes train9" 0.755851796219802 0.026877194201384
"HNSC Genes test9" 0.600302419354839 NA
"HNSC Covars train9" 0.663756415070722 0.031538911898657
"HNSC Covars test9" 0.542131979695431 NA
"HNSC Genes and covars train10" 0.790703363914373 0.0263852042422052
"HNSC Genes and covars test10" 0.595432300163132 NA
"HNSC Genes train10" 0.779449541284404 0.023878057101355
"HNSC Genes test10" 0.56878738444807 NA
"HNSC Covars train10" 0.626850152905199 0.0330067350185112
"HNSC Covars test10" 0.627525942108138 NA
"HNSC Genes and covars train11" 0.799752926642744 0.0234483235373262
"HNSC Genes and covars test11" 0.57334144856969 NA
"HNSC Genes train11" 0.789987646332137 0.0231754747690914
"HNSC Genes test11" 0.584905660377358 NA
"HNSC Covars train11" 0.646038002235426 0.0327288402098129
"HNSC Covars test11" 0.571253822629969 NA
"HNSC Genes and covars train12" 0.762611961860734 0.0254406007772788
"HNSC Genes and covars test12" 0.693734015345269 NA
"HNSC Genes train12" 0.731522681305981 0.025227234233711
"HNSC Genes test12" 0.703964194373402 NA
"HNSC Covars train12" 0.655013002022537 0.0321140959131433
"HNSC Covars test12" 0.5198973042362 NA
"HNSC Genes and covars train13" 0.761030798240101 0.0244063780116259
"HNSC Genes and covars test13" 0.703759398496241 NA
"HNSC Genes train13" 0.747705845380264 0.0234065059553189
"HNSC Genes test13" 0.67468671679198 NA
"HNSC Covars train13" 0.620018856065368 0.033968441660969
"HNSC Covars test13" 0.64080604534005 NA
"HNSC Genes and covars train14" 0.760477906315191 0.0248012494538705
"HNSC Genes and covars test14" 0.656402737047898 NA
"HNSC Genes train14" 0.712750489917188 0.0269968756811983
"HNSC Genes test14" 0.666666666666667 NA
"HNSC Covars train14" 0.662936974524306 0.0323214433689095
"HNSC Covars test14" 0.547924901185771 NA
"HNSC Genes and covars train15" 0.784426338987579 0.0257871253582899
"HNSC Genes and covars test15" 0.582224130528124 NA
"HNSC Genes train15" 0.759182583144116 0.0236596771976193
"HNSC Genes test15" 0.600257621296694 NA
"HNSC Covars train15" 0.666822492320021 0.0330253561054831
"HNSC Covars test15" 0.552824493316085 NA
"HNSC Genes and covars train16" 0.801992388627714 0.0212346394724077
"HNSC Genes and covars test16" 0.627636363636364 NA
"HNSC Genes train16" 0.789511976718155 0.0228115024726285
"HNSC Genes test16" 0.593454545454545 NA
"HNSC Covars train16" 0.631184239982091 0.0332615537880366
"HNSC Covars test16" 0.586333578251286 NA
"HNSC Genes and covars train17" 0.781017445406856 0.0249098287137128
"HNSC Genes and covars test17" 0.62226957911561 NA
"HNSC Genes train17" 0.768085885079907 0.0247804180986355
"HNSC Genes test17" 0.594565796483751 NA
"HNSC Covars train17" 0.634530925948518 0.0334064389548294
"HNSC Covars test17" 0.621722846441948 NA
"HNSC Genes and covars train18" 0.768633986552497 0.0215205069498979
"HNSC Genes and covars test18" 0.624750499001996 NA
"HNSC Genes train18" 0.732141830929257 0.0232029550140518
"HNSC Genes test18" 0.596806387225549 NA
"HNSC Covars train18" 0.640968909832768 0.0315790130535333
"HNSC Covars test18" 0.581598388179987 NA
"HNSC Genes and covars train19" 0.788181120491174 0.0225474264087162
"HNSC Genes and covars test19" 0.64347146207975 NA
"HNSC Genes train19" 0.77036509154698 0.0218486749163338
"HNSC Genes test19" 0.648944487881157 NA
"HNSC Covars train19" 0.642774915031247 0.03213472807053
"HNSC Covars test19" 0.606945540647198 NA
"HNSC Genes and covars train20" 0.799890717017789 0.0245101487098472
"HNSC Genes and covars test20" 0.596091205211726 NA
"HNSC Genes train20" 0.782405439864003 0.0257872525037882
"HNSC Genes test20" 0.577090119435396 NA
"HNSC Covars train20" 0.641825025802926 0.0329531736943943
"HNSC Covars test20" 0.562465902891435 NA
"HNSC Genes and covars train21" 0.802332912988651 0.0213012979516101
"HNSC Genes and covars test21" 0.566129819424109 NA
"HNSC Genes train21" 0.796343001261034 0.0216542873064982
"HNSC Genes test21" 0.525134211810639 NA
"HNSC Covars train21" 0.624211853720051 0.0346798929227895
"HNSC Covars test21" 0.63890249877511 NA
"HNSC Genes and covars train22" 0.777935023381738 0.0257264710931731
"HNSC Genes and covars test22" 0.665792235047219 NA
"HNSC Genes train22" 0.755906965296579 0.0257034374291397
"HNSC Genes test22" 0.632738719832109 NA
"HNSC Covars train22" 0.616877922717204 0.0352128797971551
"HNSC Covars test22" 0.674050632911392 NA
"HNSC Genes and covars train23" 0.776051820640211 0.0251911702494464
"HNSC Genes and covars test23" 0.63343253968254 NA
"HNSC Genes train23" 0.752782843846299 0.0256289166994906
"HNSC Genes test23" 0.569940476190476 NA
"HNSC Covars train23" 0.615684548141626 0.033632193453174
"HNSC Covars test23" 0.685129740518962 NA
"HNSC Genes and covars train24" 0.755520054772637 0.0270050165234775
"HNSC Genes and covars test24" 0.690700808625337 NA
"HNSC Genes train24" 0.746619501340788 0.0266117788321943
"HNSC Genes test24" 0.644204851752021 NA
"HNSC Covars train24" 0.596679408911964 0.0356770070199323
"HNSC Covars test24" 0.703050847457627 NA
"HNSC Genes and covars train25" 0.761020013716566 0.0275735494567845
"HNSC Genes and covars test25" 0.735007688364941 NA
"HNSC Genes train25" 0.748051624166095 0.0266169998708113
"HNSC Genes test25" 0.691952844695028 NA
"HNSC Covars train25" 0.610356007232371 0.0348407308811092
"HNSC Covars test25" 0.686244204018547 NA
"HNSC Genes and covars train26" 0.781367438477391 0.0243002538376143
"HNSC Genes and covars test26" 0.550898203592814 NA
"HNSC Genes train26" 0.766092859740575 0.0255441299167519
"HNSC Genes test26" 0.573761567773544 NA
"HNSC Covars train26" 0.652988240998909 0.033268156118068
"HNSC Covars test26" 0.501915708812261 NA
"HNSC Genes and covars train27" 0.751218227314632 0.0261592482414721
"HNSC Genes and covars test27" 0.698795180722891 NA
"HNSC Genes train27" 0.741406558672461 0.0260321447580913
"HNSC Genes test27" 0.666666666666667 NA
"HNSC Covars train27" 0.604306598182537 0.0347909514567239
"HNSC Covars test27" 0.699011680143756 NA
"HNSC Genes and covars train28" 0.789946873722926 0.0225021727901157
"HNSC Genes and covars test28" 0.642813826561552 NA
"HNSC Genes train28" 0.781248175608617 0.0226693988423977
"HNSC Genes test28" 0.607034566403881 NA
"HNSC Covars train28" 0.618775176601086 0.0319694211608511
"HNSC Covars test28" 0.645437844458053 NA
"HNSC Genes and covars train29" 0.772600557546794 0.0256011717121583
"HNSC Genes and covars test29" 0.686038744154977 NA
"HNSC Genes train29" 0.759970415884394 0.023753466417341
"HNSC Genes test29" 0.617234468937876 NA
"HNSC Covars train29" 0.618649371337543 0.0316921360409265
"HNSC Covars test29" 0.656586021505376 NA
"KIRC Genes and covars train" 0.790267601770952 0.0212690741765436
"KIRC Genes and covars test" 0.763594920221426 NA
"KIRC Genes train" 0.734513967793755 0.0257241562077004
"KIRC Genes test" 0.631064799739499 NA
"KIRC Covars train" 0.743897660933276 0.0242108050413555
"KIRC Covars test" 0.796011768551814 NA
"KIRC Genes and covars train1" 0.813100370622495 0.0192820311728996
"KIRC Genes and covars test1" 0.724664002905921 NA
"KIRC Genes train1" 0.742379547689282 0.0252797979802872
"KIRC Genes test1" 0.654558663276426 NA
"KIRC Covars train1" 0.763104152484683 0.0213321644975644
"KIRC Covars test1" 0.737973760932945 NA
"KIRC Genes and covars train2" 0.801729169706698 0.021352821442455
"KIRC Genes and covars test2" 0.780016447368421 NA
"KIRC Genes train2" 0.734824164599446 0.0259260618052926
"KIRC Genes test2" 0.672697368421053 NA
"KIRC Covars train2" 0.756894790602656 0.0218607491488883
"KIRC Covars test2" 0.77008652657602 NA
"KIRC Genes and covars train3" 0.825194099378882 0.0186259932158826
"KIRC Genes and covars test3" 0.712080536912752 NA
"KIRC Genes train3" 0.748951863354037 0.0246529599859369
"KIRC Genes test3" 0.661073825503356 NA
"KIRC Covars train3" 0.764169254658385 0.0227380375946308
"KIRC Covars test3" 0.744444444444444 NA
"KIRC Genes and covars train4" 0.818495646503778 0.0174027967247697
"KIRC Genes and covars test4" 0.686002084056964 NA
"KIRC Genes train4" 0.76594683748226 0.0232168478824524
"KIRC Genes test4" 0.592914206321639 NA
"KIRC Covars train4" 0.746039660925933 0.0227842528637716
"KIRC Covars test4" 0.790665273423894 NA
"KIRC Genes and covars train5" 0.81391735259533 0.019708928990587
"KIRC Genes and covars test5" 0.716848892626857 NA
"KIRC Genes train5" 0.751847807827986 0.0248684377224248
"KIRC Genes test5" 0.617325483599664 NA
"KIRC Covars train5" 0.757832185452713 0.0237912521597169
"KIRC Covars test5" 0.7475317348378 NA
"KIRC Genes and covars train6" 0.821469796075414 0.0191679623997748
"KIRC Genes and covars test6" 0.726492793411119 NA
"KIRC Genes train6" 0.747903039630627 0.0255325150425766
"KIRC Genes test6" 0.635895676046671 NA
"KIRC Covars train6" 0.76425548287803 0.0224667247235245
"KIRC Covars test6" 0.750516173434274 NA
"KIRC Genes and covars train7" 0.816728540040912 0.0193337996491231
"KIRC Genes and covars test7" 0.679459064327485 NA
"KIRC Genes train7" 0.746798999924237 0.0245751600977009
"KIRC Genes test7" 0.618421052631579 NA
"KIRC Covars train7" 0.766554284415486 0.0215454788190299
"KIRC Covars test7" 0.74586852735953 NA
"KIRC Genes and covars train8" 0.814918765070957 0.0195411380670272
"KIRC Genes and covars test8" 0.733842725246737 NA
"KIRC Genes train8" 0.7572834723485 0.0240411620169734
"KIRC Genes test8" 0.631645972620185 NA
"KIRC Covars train8" 0.744455864331739 0.0238909580400406
"KIRC Covars test8" 0.794117647058824 NA
"KIRC Genes and covars train9" 0.814510921177588 0.0203437227114838
"KIRC Genes and covars test9" 0.72113676731794 NA
"KIRC Genes train9" 0.731320037986705 0.0256908735790442
"KIRC Genes test9" 0.689520426287744 NA
"KIRC Covars train9" 0.773314339981007 0.0215962686459554
"KIRC Covars test9" 0.716678545972915 NA
"KIRC Genes and covars train10" 0.806445350417395 0.0198788524492118
"KIRC Genes and covars test10" 0.689655172413793 NA
"KIRC Genes train10" 0.754649582605319 0.0254084612921649
"KIRC Genes test10" 0.593644354293442 NA
"KIRC Covars train10" 0.753329450592118 0.0226572251540752
"KIRC Covars test10" 0.778042148198504 NA
"KIRC Genes and covars train11" 0.811520012898545 0.0194495289314297
"KIRC Genes and covars test11" 0.705651254155334 NA
"KIRC Genes train11" 0.754967955177557 0.0239155380567291
"KIRC Genes test11" 0.630704140223633 NA
"KIRC Covars train11" 0.770950058446532 0.0217760204932767
"KIRC Covars test11" 0.741033434650456 NA
"KIRC Genes and covars train12" 0.816309457413752 0.0197940162046136
"KIRC Genes and covars test12" 0.738847583643123 NA
"KIRC Genes train12" 0.724165405147 0.0273348367313659
"KIRC Genes test12" 0.68091697645601 NA
"KIRC Covars train12" 0.775396382758346 0.0221219942274923
"KIRC Covars test12" 0.685162094763092 NA
"KIRC Genes and covars train13" 0.822938014771277 0.0192968058663463
"KIRC Genes and covars test13" 0.689175432643366 NA
"KIRC Genes train13" 0.740033254707861 0.0264986098020126
"KIRC Genes test13" 0.612487275195114 NA
"KIRC Covars train13" 0.761996829202274 0.0231898998340925
"KIRC Covars test13" 0.763543441226576 NA
"KIRC Genes and covars train14" 0.803789642129764 0.0195358377497178
"KIRC Genes and covars test14" 0.758278145695364 NA
"KIRC Genes train14" 0.742689845795752 0.0244064378031081
"KIRC Genes test14" 0.676738410596026 NA
"KIRC Covars train14" 0.754164242071574 0.0216264595816527
"KIRC Covars test14" 0.77597672485453 NA
"KIRC Genes and covars train15" 0.815275999844835 0.0200941799650949
"KIRC Genes and covars test15" 0.698036560595802 NA
"KIRC Genes train15" 0.746770627254742 0.0246864841426331
"KIRC Genes test15" 0.64793500338524 NA
"KIRC Covars train15" 0.763819387873851 0.0222839515116935
"KIRC Covars test15" 0.751272480488632 NA
"KIRC Genes and covars train16" 0.806959437356886 0.0219180246916611
"KIRC Genes and covars test16" 0.733157586408904 NA
"KIRC Genes train16" 0.747383055282957 0.0265269251672358
"KIRC Genes test16" 0.647334504979496 NA
"KIRC Covars train16" 0.75517255479228 0.0226053906977568
"KIRC Covars test16" 0.769185533666569 NA
"KIRC Genes and covars train17" 0.806315622017181 0.0210297019322848
"KIRC Genes and covars test17" 0.76806563584727 NA
"KIRC Genes train17" 0.734966592427617 0.0268491996851134
"KIRC Genes test17" 0.69296307983591 NA
"KIRC Covars train17" 0.746639357301941 0.0222299309491302
"KIRC Covars test17" 0.790557667934094 NA
"KIRC Genes and covars train18" 0.793638668009306 0.0198593794827499
"KIRC Genes and covars test18" 0.786612984398591 NA
"KIRC Genes train18" 0.724747387062051 0.0249969543755562
"KIRC Genes test18" 0.739305485656769 NA
"KIRC Covars train18" 0.748463488315567 0.021562297843213
"KIRC Covars test18" 0.815749621403332 NA
"KIRC Genes and covars train19" 0.81987977672821 0.0189021911199697
"KIRC Genes and covars test19" 0.68348826914564 NA
"KIRC Genes train19" 0.750035780735652 0.0246586663147179
"KIRC Genes test19" 0.613545816733068 NA
"KIRC Covars train19" 0.768051381136396 0.0208887071704944
"KIRC Covars test19" 0.731588287488909 NA
"KIRC Genes and covars train20" 0.808756882280235 0.0196446641016741
"KIRC Genes and covars test20" 0.740352191832147 NA
"KIRC Genes train20" 0.728529158395446 0.0254214104331686
"KIRC Genes test20" 0.679280629449232 NA
"KIRC Covars train20" 0.758399190980936 0.0221291794653182
"KIRC Covars test20" 0.76326684230335 NA
"KIRC Genes and covars train21" 0.809375492824476 0.0208847544059941
"KIRC Genes and covars test21" 0.71373679154659 NA
"KIRC Genes train21" 0.759028544393629 0.0244331850553691
"KIRC Genes test21" 0.593019532500801 NA
"KIRC Covars train21" 0.751596751301057 0.0229266414966468
"KIRC Covars test21" 0.783558124598587 NA
"KIRC Genes and covars train22" 0.821527278234203 0.0190082435978723
"KIRC Genes and covars test22" 0.675315315315315 NA
"KIRC Genes train22" 0.762162571461023 0.0239058635630316
"KIRC Genes test22" 0.596396396396396 NA
"KIRC Covars train22" 0.769980691326241 0.0221527548184063
"KIRC Covars test22" 0.701989150090416 NA
"KIRC Genes and covars train23" 0.81516570341649 0.0178980664003935
"KIRC Genes and covars test23" 0.762890955198647 NA
"KIRC Genes train23" 0.749176969785646 0.0227222722077006
"KIRC Genes test23" 0.666948436179205 NA
"KIRC Covars train23" 0.745080108274197 0.0220741543585275
"KIRC Covars test23" 0.812473483241409 NA
"KIRC Genes and covars train24" 0.809322927652394 0.0211143017165419
"KIRC Genes and covars test24" 0.726376335250616 NA
"KIRC Genes train24" 0.748365323771356 0.0251939788179526
"KIRC Genes test24" 0.643659271432484 NA
